anios_esc,ingocup,hrsocup,clase2
0,0,0,0
17,0,39,1
9,0,48,1
11,10000,48,1
8,0,0,3
14,0,36,1
6,10750,50,1
16,0,45,1
5,0,0,4
12,5590,60,1
13,2150,6,1
2,0,0,4
9,9600,48,1
11,0,0,4
17,0,25,1
9,4500,42,1
4,0,0,4
9,8600,50,1
6,0,0,2
14,12900,24,1
0,0,0,4
3,0,0,4
6,4300,13,1
10,0,24,1
9,3225,54,1
0,0,0,0
9,0,48,1
11,0,77,1
8,12040,66,1
2,7310,50,1
0,0,36,1
6,4300,57,1
0,0,0,0
9,0,0,4
6,0,72,1
10,0,0,4
16,0,36,1
9,6665,60,1
17,0,0,4
17,12000,30,1
15,15050,50,1
9,5375,51,1
0,0,0,0
10,0,0,4
0,0,0,0
9,0,48,1
6,7740,24,1
9,0,0,4
9,0,0,3
12,2580,24,1
0,0,0,4
12,0,40,1
6,0,0,4
12,0,48,1
11,0,50,1
15,40000,48,1
7,0,0,4
14,4300,30,1
6,8600,40,1
9,5590,60,1
17,0,0,4
0,0,0,0
0,0,0,0
9,0,0,3
11,0,0,4
12,0,0,2
17,0,40,1
12,0,0,2
17,9600,40,1
4,3440,77,1
6,0,0,4
7,0,0,4
9,8600,32,1
0,0,0,0
9,4300,8,1
6,4000,4,1
9,9460,50,1
6,0,0,4
12,10750,36,1
15,0,0,4
9,8600,72,1
8,4730,45,1
8,3870,28,1
3,11610,41,1
16,0,0,4
13,0,0,4
9,7740,84,1
12,12900,50,1
17,0,0,2
6,0,48,1
0,0,0,0
16,0,40,1
9,0,54,1
7,0,0,4
17,17200,45,1
0,0,0,0
16,10000,66,1
9,5160,48,1
0,0,0,0
9,6450,73,1
9,0,40,1
17,14000,40,1
0,0,0,0
0,0,0,0
0,0,0,0
6,34440,8,1
9,9000,63,1
0,0,0,0
11,19350,0,1
3,4000,56,1
12,10750,0,1
16,38700,60,1
1,0,28,1
9,0,24,1
9,13760,69,1
12,0,0,2
9,9200,55,1
0,0,0,0
11,4300,20,1
17,20000,60,1
16,12000,40,1
15,0,42,1
11,6000,42,1
9,6880,40,1
6,0,0,3
17,16000,30,1
13,5000,25,1
9,0,0,4
7,0,0,4
17,0,48,1
6,8170,72,1
6,5160,24,1
0,0,0,0
9,10750,50,1
9,8600,50,1
16,7740,30,1
16,0,45,1
0,0,0,0
12,0,30,1
0,0,0,0
12,8815,46,1
9,8600,30,1
10,10000,28,1
0,0,0,0
10,0,0,4
16,0,0,2
9,0,0,2
3,0,0,4
0,0,0,0
9,0,0,4
0,0,0,0
11,0,0,3
10,2580,28,1
0,0,0,0
16,12900,70,1
14,0,0,4
9,0,48,1
0,0,0,0
0,0,0,0
6,0,56,1
0,0,0,0
15,21000,48,1
9,8600,56,1
18,24000,35,1
9,8600,46,1
15,0,24,1
0,0,0,0
9,0,30,1
9,0,0,4
17,7000,30,1
0,0,0,0
0,0,0,0
6,6450,46,1
3,0,0,4
3,0,0,4
15,11000,37,1
6,6450,48,1
8,0,5,1
0,0,0,0
16,15000,54,1
11,0,48,1
13,0,8,1
16,10750,56,1
6,1500,30,1
2,6450,60,1
16,0,40,1
9,0,0,2
12,0,60,1
9,0,0,4
0,0,0,0
6,0,0,4
2,0,50,1
3,430,3,1
12,7740,48,1
8,0,0,4
17,9030,48,1
0,0,0,0
0,0,0,0
9,5160,36,1
0,0,0,0
0,0,50,1
17,20000,48,1
0,0,0,3
4,3000,16,1
0,0,0,0
12,6223,48,1
17,30000,54,1
12,8000,30,1
1,0,0,4
12,25000,30,1
12,5160,65,1
7,0,0,4
0,0,0,0
9,6450,54,1
0,0,0,0
0,0,0,0
6,19350,46,1
15,0,62,1
6,9460,30,1
12,0,0,4
0,0,0,4
9,0,0,4
7,0,0,4
9,10750,45,1
9,0,60,1
14,0,56,1
7,8600,42,1
18,16000,40,1
9,0,0,4
6,833,40,1
0,0,0,0
6,10750,54,1
9,4085,42,1
0,0,0,0
4,7740,54,1
12,0,0,2
1,0,0,4
9,0,34,1
11,0,0,4
9,10750,46,1
9,5676,50,1
3,5160,45,1
12,0,0,2
17,14000,40,1
0,0,0,0
6,0,48,1
10,6000,40,1
16,0,49,1
9,5160,42,1
16,0,0,4
9,860,10,1
0,0,0,3
15,0,60,1
9,5160,48,1
10,10000,80,1
6,12900,48,1
9,0,79,1
2,0,0,4
0,0,0,4
16,0,40,1
6,6450,52,1
0,0,0,4
16,12000,40,1
0,0,36,1
0,0,0,0
12,0,60,1
0,0,0,0
12,15050,70,1
16,8000,0,1
0,0,0,0
12,0,40,1
9,3010,12,1
0,0,0,0
6,3010,16,1
0,0,0,0
15,0,16,1
0,0,0,0
14,0,0,4
6,1666,42,1
0,0,0,0
4,0,0,4
12,8000,40,1
12,0,0,2
11,0,60,1
12,0,56,1
9,8600,48,1
11,12900,48,1
0,0,0,0
9,6000,33,1
12,6450,48,1
6,0,18,1
2,0,0,3
6,0,0,4
0,0,0,0
6,1740,20,1
0,0,0,0
9,10000,48,1
10,0,0,4
9,12900,0,1
6,5160,45,1
8,0,49,1
9,0,0,4
9,6020,48,1
4,0,0,4
6,0,0,4
0,0,0,0
5,0,0,3
0,3440,32,1
17,30000,0,1
9,0,14,1
12,2150,9,1
0,0,0,0
2,0,0,4
3,12040,48,1
9,0,0,4
6,0,0,4
16,0,0,3
0,0,0,0
0,0,0,0
14,15910,49,1
6,0,0,3
8,0,0,4
2,0,0,4
9,0,0,4
9,0,48,1
0,0,0,0
17,0,0,4
0,0,0,0
